Name;Full Name;Nationality;Age;Height;Current Team;Shirt Number;Apps;Mins;Mins/App;Goals;Goals/App;Assists;Assists/App;Yel;Yel/App;Red;Red/App;Shots per Game;Pass Success Percentage;Aerials Won;Forward;Midfielder;Defender;Goalkeeper
Jeremy Sebas;;France;21;187;Strasbourg;40;19;410;21.5789473684211;2;0.105263157894737;0;0;0;0;0;0;0.4;74.2;0.2;1;0;0;0
Eduard Sobol;;Ukraine;29;186;Strasbourg;77;150;9810;65.4;5;0.0333333333333333;12;0.08;23;0.153333333333333;4;0.0266666666666667;0.7;77.6;1;0;1;1;0
Milos Lukovic;;Serbia;18;184;Strasbourg;9;2;11;5.5;0;0;0;0;0;0;0;0;0;66.7;0;1;0;0;0
Karol Fila;;Poland;26;183;FCV Dender EH;5;36;2058;57.1666666666667;1;0.0277777777777778;0;0;10;0.277777777777778;0;0;0.2;79.7;0.7;0;0;1;0
Vincenzo Grifo;;Italy;31;180;Freiburg;32;300;21372;71.24;81;0.27;74;0.246666666666667;15;0.05;1;0.00333333333333333;2.1;78.6;0.5;0;1;0;0
Ritsu Doan;;Japan;26;172;Freiburg;42;242;18139;74.9545454545455;51;0.210743801652893;23;0.0950413223140496;15;0.0619834710743802;1;0.00413223140495868;1.7;75.6;0.4;1;1;0;0
Lukas Kübler;;Germany;32;182;Freiburg;17;174;12091;69.4885057471264;9;0.0517241379310345;5;0.028735632183908;21;0.120689655172414;0;0;0.4;74.1;1.4;0;1;1;0
Maximilian Eggestein;;Germany;27;181;Freiburg;8;285;22924;80.4350877192983;16;0.056140350877193;24;0.0842105263157895;36;0.126315789473684;0;0;0.9;78.7;1.4;0;1;0;0
Noah Atubolu;;Germany;22;190;Freiburg;1;53;4800;90.5660377358491;0;0;0;0;0;0;0;0;0;69;0.2;0;0;0;1
Matthias Ginter;;Germany;30;191;Freiburg;28;438;36741;83.8835616438356;24;0.0547945205479452;18;0.0410958904109589;36;0.0821917808219178;0;0;0.6;84.9;2.7;0;1;1;0
Junior Adamu;;;23;183;Freiburg;20;50;1614;32.28;5;0.1;3;0.06;4;0.08;0;0;0.8;58.8;1;1;0;0;0
Patrick Osterhage;;Germany;24;184;Freiburg;6;69;4256;61.6811594202899;2;0.0289855072463768;2;0.0289855072463768;10;0.144927536231884;0;0;0.6;77.6;0.9;0;1;0;0
Eren Dinkçi;;Turkey;22;188;Freiburg;18;88;4216;47.9090909090909;11;0.125;8;0.0909090909090909;9;0.102272727272727;1;0.0113636363636364;0.9;66.9;0.4;0;1;0;0
Philipp Lienhart;;Austria;28;189;Freiburg;3;193;15831;82.0259067357513;15;0.077720207253886;2;0.0103626943005181;25;0.129533678756477;0;0;0.4;85.5;1.9;0;0;1;0
Christian Günter;;Germany;31;184;Freiburg;30;378;32155;85.0661375661376;12;0.0317460317460317;43;0.113756613756614;35;0.0925925925925926;3;0.00793650793650794;0.7;73.7;0.6;0;1;1;0
Nicolas Höfler;;Germany;34;181;Freiburg;27;321;26608;82.8909657320872;12;0.0373831775700935;16;0.0498442367601246;81;0.252336448598131;4;0.0124610591900312;0.6;84.5;2;0;1;1;0
Max Rosenfelder;;Germany;21;186;Freiburg;37;8;434;54.25;0;0;0;0;0;0;0;0;0;86.3;0.6;0;0;1;0
Merlin Röhl;;;22;192;Freiburg;34;64;3756;58.6875;4;0.0625;5;0.078125;9;0.140625;1;0.015625;1;77.3;0.8;0;1;0;0
Roland Sallai;;Hungary;27;183;Galatasaray;22;208;12182;58.5673076923077;31;0.149038461538462;15;0.0721153846153846;34;0.163461538461538;1;0.00480769230769231;1.8;77.4;1;1;1;0;0
Florent Muslija;;Kosovo;26;172;Freiburg;23;173;8754;50.6011560693642;33;0.190751445086705;16;0.092485549132948;15;0.0867052023121387;0;0;1.6;80.1;0.2;0;1;0;0
Jordy Makengo;;France;23;191;Freiburg;33;29;1369;47.2068965517241;0;0;1;0.0344827586206897;1;0.0344827586206897;0;0;0.1;87.6;0.7;0;0;1;0
Michael Gregoritsch;;Austria;30;193;Freiburg;38;286;16493;57.6678321678322;70;0.244755244755245;19;0.0664335664335664;32;0.111888111888112;0;0;2;64.6;3;1;1;0;0
Bruno Ogbus;;;18;185;Freiburg;43;2;17;8.5;0;0;0;0;0;0;0;0;0;100;0;0;0;1;0
Noah Weißhaupt;;Germany;23;181;Freiburg;7;69;1789;25.9275362318841;2;0.0289855072463768;3;0.0434782608695652;1;0.0144927536231884;0;0;0.2;78;0.2;0;1;0;0
Lucas Höler;;Germany;30;184;Freiburg;9;269;18010;66.9516728624535;49;0.182156133828996;19;0.0706319702602231;29;0.107806691449814;0;0;1.3;65.8;2.4;1;1;0;0
Johan Manzambi;;;19;182;Freiburg;44;1;9;9;0;0;0;0;0;0;0;0;0;100;0;0;1;0;0
Kiliann Sildillia;;France;22;186;Freiburg;25;80;5117;63.9625;1;0.0125;3;0.0375;8;0.1;2;0.025;0.3;75.9;1.2;0;1;1;0
Florian Müller;;Germany;26;190;Freiburg;21;124;11115;89.6370967741936;0;0;0;0;0;0;0;0;0;69.6;0.2;0;0;0;1
Juan Cruz;;Spain;24;177;Leganes;11;25;1026;41.04;5;0.2;1;0.04;2;0.08;0;0;1;74.1;0.2;0;1;0;0
Jorge Sáenz;;Spain;27;188;Leganes;3;20;1294;64.7;1;0.05;0;0;5;0.25;1;0.05;0.1;78.3;1.6;0;0;1;0
Yvan Neyou;;Cameroon;27;180;Leganes;17;59;4178;70.8135593220339;2;0.0338983050847458;3;0.0508474576271187;17;0.288135593220339;1;0.0169491525423729;0.7;86.5;0.7;0;1;0;0
Valentin Rosier;;France;28;175;Leganes;12;193;15696;81.3264248704663;3;0.0155440414507772;21;0.10880829015544;35;0.181347150259067;4;0.0207253886010363;0.5;80.7;0.9;0;1;1;0
Dani Raba;;Spain;29;184;Leganes;10;61;2223;36.4426229508197;4;0.0655737704918033;7;0.114754098360656;5;0.0819672131147541;1;0.0163934426229508;0.6;77.5;0.3;0;1;0;0
Juan Soriano;;Spain;27;185;Leganes;1;22;1935;87.9545454545455;0;0;0;0;3;0.136363636363636;1;0.0454545454545455;0;44.8;0.3;0;0;0;1
Marko Dmitrovic;;Serbia;32;194;Leganes;13;198;17575;88.7626262626263;1;0.00505050505050505;0;0;12;0.0606060606060606;0;0;0;49.5;0.3;0;0;0;1
